Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7458,0.7461,0.7458,0.7457
Decision Tree,0.7373,0.7376,0.7373,0.7372
Random Forest,0.7496,0.7517,0.7496,0.749
Support Vector Machine,0.7429,0.7455,0.7429,0.7422
