Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,1.0,1.0,1.0,1.0
Decision Tree,0.9524,0.9603,0.9524,0.9538
Random Forest,1.0,1.0,1.0,1.0
Support Vector Machine,1.0,1.0,1.0,1.0
