Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7456,0.9448,0.7456,0.8175
Decision Tree,0.8278,0.9425,0.8278,0.8719
Random Forest,0.8053,0.9386,0.8053,0.8569
Support Vector Machine,0.774,0.9381,0.774,0.8363
