Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8167,0.8133,0.8167,0.808
Decision Tree,0.6667,0.6764,0.6667,0.6708
Random Forest,0.85,0.8508,0.85,0.8429
Support Vector Machine,0.7667,0.7602,0.7667,0.7459
