Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9573,0.9759,0.9573,0.9632
Decision Tree,0.9874,0.9892,0.9874,0.9879
Random Forest,0.9858,0.9866,0.9858,0.9861
Support Vector Machine,0.9621,0.9729,0.9621,0.9658
