Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7692,0.5917,0.7692,0.6689
Decision Tree,0.7179,0.683,0.7179,0.6965
Random Forest,0.7949,0.8381,0.7949,0.7249
Support Vector Machine,0.7692,0.5917,0.7692,0.6689
